AUFNR,MANDT,AUART,AUTYP,REFNR,ERNAM,ERDAT,AENAM,AEDAT,KTEXT,LTEXT,BUKRS,WERKS,GSBER,KOKRS,CCKEY,KOSTV,STORT,SOWRK,ASTKZ,WAERS,ASTNR,STDAT,ESTNR,PHAS0,PHAS1,PHAS2,PHAS3,PDAT1,PDAT2,PDAT3,IDAT1,IDAT2,IDAT3,OBJID,VOGRP,LOEKZ,PLGKZ,KVEWE,KAPPL,KALSM,ZSCHL,ABKRS,KSTAR,KOSTL,SAKNR,SETNM,CYCLE,SDATE,SEQNR,USER0,USER1,USER2,USER3,USER4,USER5,USER6,USER7,USER8,USER9,OBJNR,PRCTR,PSPEL,AWSLS,ABGSL,TXJCD,FUNC_AREA,SCOPE,PLINT,KDAUF,KDPOS,AUFEX,IVPRO,LOGSYSTEM,FLG_MLTPS,ABUKR,AKSTL,SIZECL,IZWEK,UMWKZ,KSTEMPF,ZSCHM,PKOSA,ANFAUFNR,PROCNR,PROTY,RSORD,BEMOT,ADRNRA,ERFZEIT,AEZEIT,CSTG_VRNT,COSTESTNR,ZZPRO_RSCHL_CD,ZZBDDAT,ZZGLTRP_ORIG,ZZPRO_TEXT,ZZSP_REVIEW,ZZPLPRDSTART,ZZCUSTSO,ZZCUSTNAME,ZZITPROJECT,ZZTARGETSTR,VNAME,RECID,ETYPE,OTYPE,JV_JIBCL,JV_JIBSA,JV_OCO,ZZBUSNSEG,ZZSUB_BUSNSEG,ZZPRODH_L1,ZZPRODH_L2,sur_pkey,SOURCE_SYSTEM_ERP
2b7ef36e1f276a1b45f02f1fed8e12f5d2c26961b43a50ce615bf15e26d60134,ad57366865126e55649ecb23ae1d48887544976efea46a48eb5d85a6eeb4d306,9050d64573b577abef34cf3073e3fbff7f96127e46945a52b15809eb89b34b2c,ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d,,ce7998edfbef766648e756003d802a4f2eae8e3a0ce8c875e4a8a67a3b546383,2018-11-08,,,bfbc1b53daf932e247df5496cc646c1f3134ef1adc83a953b75481a42b384c76,,524beeec873cb78924f03e60f2b9a7313873df5881f0654eaead2d581336e643,b9ffe9007a4cd971a305ac35efd97a6ae76193c62a33b9f49f704113caedaad6,,30814e3036f3f98aca5b54c1f7dbcd2636e1a06e401258f0b4eff18ffc479c39,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,,,,,a26cdf3a6e709124385d4d7eb9bff6b897a58ed5597fbab779b89849dbe81b21,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,,,,,,2019-09-14,,,c4694f2e93d5c4e7d51f9c5deb75e6cc8be5e1114178c6a45b6fc2c566a0aa8c,,,,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd,8b92049269c56aef446e4853aee439b0548d12d62f26c29b077e54c437f8e6e1,1f3b5ceddfc901e48221e71ae61fa7f94ff556dc97ba63800d06b45f5ac22914,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,428.0191693082893,,,,,,a9267b4f2a0a26c20e129a44acf7f993fff54774ca4169277dda2f359cf6b89b,6faafd366a9ba8b1fbf7cade3fd1398f84727e6a00d84e8b3dbdb2581c1f2704,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,a9009f41007a98c18f4fb6db82d8fdf7f2916abcd823b8c3ad62616e7810629c,52e15ec185ba036071571ef861ff3cec4ace0100eda2b93dfd9dc9773566e351,,,c3972ccd735419073803fcacedfe2ea2c95f6c1df260354e9f83aa1befff1efb,,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,,,,,,,,,,9ffaf68777fb503652371a1755a2a36402bafeaeaca9d10e33338fee46a7817a,567d6942cf5211b4321ec51929f02f900a56260d92e6df24be91c909dedd8adb,,,,1fcd6bedeaf58daa2a7f0d63f80de4768dc1005cf843b76487086ffb8fe82b79,1fcd6bedeaf58daa2a7f0d63f80de4768dc1005cf843b76487086ffb8fe82b79,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,,,,,,,,,,,,,,,,,,4e0e4f3f53d03edc70a5ce5752b1cf7e68f3c0bec39fc9d509c140000aa50f30,abe464ff6d208dc29d603390b9992bcccb9b06e57c94eb07ce579966fd0608e1
9cd05f67e6e56f80c2ea1bcf3e95318d7c444b067328cdbcfd692a884428c36f,ad57366865126e55649ecb23ae1d48887544976efea46a48eb5d85a6eeb4d306,9050d64573b577abef34cf3073e3fbff7f96127e46945a52b15809eb89b34b2c,ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d,,4589be117f1379f2476148f9d9d6e55b40f659c17814050d9e93719d7e18e380,2007-06-04,,,187724923e3551616d5d59c8fc33e1891fd55d68b2e1f7ccec8b1258ce3cc2de,,524beeec873cb78924f03e60f2b9a7313873df5881f0654eaead2d581336e643,ae5ee4e475c9ed4edeadf6f223874cdba0de2820c52d577931d417edcca0c802,,30814e3036f3f98aca5b54c1f7dbcd2636e1a06e401258f0b4eff18ffc479c39,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,,,,,a26cdf3a6e709124385d4d7eb9bff6b897a58ed5597fbab779b89849dbe81b21,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,,,,,,2007-07-15,,,c4694f2e93d5c4e7d51f9c5deb75e6cc8be5e1114178c6a45b6fc2c566a0aa8c,,,,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd,8b92049269c56aef446e4853aee439b0548d12d62f26c29b077e54c437f8e6e1,,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,368.4233899441937,,,,,,e82df2996144e92db1291b4d1729ca3b9440bb2b44b783dff7f6e09ea7475dc8,afe60ec964360a5a53fe732458a77b8bf1c2ac0e566bda6200ee585517d98272,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,a9009f41007a98c18f4fb6db82d8fdf7f2916abcd823b8c3ad62616e7810629c,52e15ec185ba036071571ef861ff3cec4ace0100eda2b93dfd9dc9773566e351,,,c3972ccd735419073803fcacedfe2ea2c95f6c1df260354e9f83aa1befff1efb,,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,,,,,,,,,,68854a3a20f2aa3b95680bb55229d39472cb7c195273b29daf333e0398f9773b,567d6942cf5211b4321ec51929f02f900a56260d92e6df24be91c909dedd8adb,,,,1fcd6bedeaf58daa2a7f0d63f80de4768dc1005cf843b76487086ffb8fe82b79,1fcd6bedeaf58daa2a7f0d63f80de4768dc1005cf843b76487086ffb8fe82b79,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,,,,,,,,,,,,,,,,,,1a26940a31b1139c4d33add90b0bc602c65a8b7a8d681e24f804c49b55420882,abe464ff6d208dc29d603390b9992bcccb9b06e57c94eb07ce579966fd0608e1
b08f260c256e3b7a2635b221e578b472323946e45b95a72d6085b3d5154e11f8,ad57366865126e55649ecb23ae1d48887544976efea46a48eb5d85a6eeb4d306,9050d64573b577abef34cf3073e3fbff7f96127e46945a52b15809eb89b34b2c,ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d,,4589be117f1379f2476148f9d9d6e55b40f659c17814050d9e93719d7e18e380,2007-03-08,,,9729c4a9e9f0f13453dc97c4298183af7a88b3e890a56d8adcfff880441c934d,,524beeec873cb78924f03e60f2b9a7313873df5881f0654eaead2d581336e643,ae5ee4e475c9ed4edeadf6f223874cdba0de2820c52d577931d417edcca0c802,,30814e3036f3f98aca5b54c1f7dbcd2636e1a06e401258f0b4eff18ffc479c39,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,,,,,a26cdf3a6e709124385d4d7eb9bff6b897a58ed5597fbab779b89849dbe81b21,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,,,,,,2007-10-15,,,c4694f2e93d5c4e7d51f9c5deb75e6cc8be5e1114178c6a45b6fc2c566a0aa8c,,,,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd,8b92049269c56aef446e4853aee439b0548d12d62f26c29b077e54c437f8e6e1,,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,369.08694752334736,,,,,,368cd18f4385fad0ae3e2eeee5e286502e9a79a795e782f3f030a1fbc4504f5e,d886a9592c141ee8bfa87a0cf44ae06217969ac24d8b7834ad802764c1ce8995,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,a9009f41007a98c18f4fb6db82d8fdf7f2916abcd823b8c3ad62616e7810629c,52e15ec185ba036071571ef861ff3cec4ace0100eda2b93dfd9dc9773566e351,,,c3972ccd735419073803fcacedfe2ea2c95f6c1df260354e9f83aa1befff1efb,,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,,,,,,,,,,8f4425e8cfdadc057b64ee437b7b1aba7a78aeb34b450b5131a68adfe518ea6d,567d6942cf5211b4321ec51929f02f900a56260d92e6df24be91c909dedd8adb,,,,1fcd6bedeaf58daa2a7f0d63f80de4768dc1005cf843b76487086ffb8fe82b79,1fcd6bedeaf58daa2a7f0d63f80de4768dc1005cf843b76487086ffb8fe82b79,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,,,,,,,,,,,,,,,,,,bceac19b0db6209b1b8d00c2499e846179c412543256b1fd2c91d58df85e0abc,abe464ff6d208dc29d603390b9992bcccb9b06e57c94eb07ce579966fd0608e1
d3e35fe4669129f2fef51780231fd88a1485993cced3f2b6d942614aa009b676,ad57366865126e55649ecb23ae1d48887544976efea46a48eb5d85a6eeb4d306,9050d64573b577abef34cf3073e3fbff7f96127e46945a52b15809eb89b34b2c,ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d,,4589be117f1379f2476148f9d9d6e55b40f659c17814050d9e93719d7e18e380,2019-12-08,,,bfbc1b53daf932e247df5496cc646c1f3134ef1adc83a953b75481a42b384c76,,524beeec873cb78924f03e60f2b9a7313873df5881f0654eaead2d581336e643,b9ffe9007a4cd971a305ac35efd97a6ae76193c62a33b9f49f704113caedaad6,,30814e3036f3f98aca5b54c1f7dbcd2636e1a06e401258f0b4eff18ffc479c39,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,,,,,a26cdf3a6e709124385d4d7eb9bff6b897a58ed5597fbab779b89849dbe81b21,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,,,,,,2020-05-06,,,c4694f2e93d5c4e7d51f9c5deb75e6cc8be5e1114178c6a45b6fc2c566a0aa8c,,,,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd,8b92049269c56aef446e4853aee439b0548d12d62f26c29b077e54c437f8e6e1,1f3b5ceddfc901e48221e71ae61fa7f94ff556dc97ba63800d06b45f5ac22914,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,259.18656564708624,,,,,,c0ea9bd11644a556447fe14a4775f5900b5f0632c322d1f706e4db21a84a2a2f,6faafd366a9ba8b1fbf7cade3fd1398f84727e6a00d84e8b3dbdb2581c1f2704,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,a9009f41007a98c18f4fb6db82d8fdf7f2916abcd823b8c3ad62616e7810629c,52e15ec185ba036071571ef861ff3cec4ace0100eda2b93dfd9dc9773566e351,,,c3972ccd735419073803fcacedfe2ea2c95f6c1df260354e9f83aa1befff1efb,,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,,,,,,,,,,a995e05dc25d9ac3d83dab6847aacc289a7ce027f5f281291002b062aab91881,567d6942cf5211b4321ec51929f02f900a56260d92e6df24be91c909dedd8adb,,,,1fcd6bedeaf58daa2a7f0d63f80de4768dc1005cf843b76487086ffb8fe82b79,1fcd6bedeaf58daa2a7f0d63f80de4768dc1005cf843b76487086ffb8fe82b79,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,,,,,,,,,,,,,,,,,,fd4cef50101f9132badeef1c7678ecb9e11c1e033f0ae8ddc84e614341072285,abe464ff6d208dc29d603390b9992bcccb9b06e57c94eb07ce579966fd0608e1
d4635fa498dd44f2281d9702e18619457715639f0c541e1960cc090a3b6631ee,ad57366865126e55649ecb23ae1d48887544976efea46a48eb5d85a6eeb4d306,9050d64573b577abef34cf3073e3fbff7f96127e46945a52b15809eb89b34b2c,ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d,,4589be117f1379f2476148f9d9d6e55b40f659c17814050d9e93719d7e18e380,2007-12-01,,,187724923e3551616d5d59c8fc33e1891fd55d68b2e1f7ccec8b1258ce3cc2de,,524beeec873cb78924f03e60f2b9a7313873df5881f0654eaead2d581336e643,ae5ee4e475c9ed4edeadf6f223874cdba0de2820c52d577931d417edcca0c802,,30814e3036f3f98aca5b54c1f7dbcd2636e1a06e401258f0b4eff18ffc479c39,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,,,,,a26cdf3a6e709124385d4d7eb9bff6b897a58ed5597fbab779b89849dbe81b21,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,,,,,,2007-11-15,,,c4694f2e93d5c4e7d51f9c5deb75e6cc8be5e1114178c6a45b6fc2c566a0aa8c,,,,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd,8b92049269c56aef446e4853aee439b0548d12d62f26c29b077e54c437f8e6e1,,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,369.77014790583473,,,,,,882b45d18e393300a6aba9daaa735ca7b8dc41a99d36c4f1402a6091c8d8061a,afe60ec964360a5a53fe732458a77b8bf1c2ac0e566bda6200ee585517d98272,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,a9009f41007a98c18f4fb6db82d8fdf7f2916abcd823b8c3ad62616e7810629c,52e15ec185ba036071571ef861ff3cec4ace0100eda2b93dfd9dc9773566e351,,,c3972ccd735419073803fcacedfe2ea2c95f6c1df260354e9f83aa1befff1efb,,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,,,,,,,,,,c1488c20218950aa64b2927fbb1ea18c86ae821d8324936f4bac1050a4d1d220,567d6942cf5211b4321ec51929f02f900a56260d92e6df24be91c909dedd8adb,,,,1fcd6bedeaf58daa2a7f0d63f80de4768dc1005cf843b76487086ffb8fe82b79,1fcd6bedeaf58daa2a7f0d63f80de4768dc1005cf843b76487086ffb8fe82b79,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,,,,,,,,,,,,,,,,,,7a1e706d0a3d6b5d4fba901eb8e486fd13a80d76ba9d3c59eb783d64b32a18bc,abe464ff6d208dc29d603390b9992bcccb9b06e57c94eb07ce579966fd0608e1
d4fde5630509afa433bc0a4bb51424a911986fa534b9548093536e17c52366d6,ad57366865126e55649ecb23ae1d48887544976efea46a48eb5d85a6eeb4d306,9050d64573b577abef34cf3073e3fbff7f96127e46945a52b15809eb89b34b2c,ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d,,4589be117f1379f2476148f9d9d6e55b40f659c17814050d9e93719d7e18e380,2007-11-26,,,774fecb2b770a8c768ed5e18e45ccda9774da972068ade1684af473ab053b232,,524beeec873cb78924f03e60f2b9a7313873df5881f0654eaead2d581336e643,ae5ee4e475c9ed4edeadf6f223874cdba0de2820c52d577931d417edcca0c802,,30814e3036f3f98aca5b54c1f7dbcd2636e1a06e401258f0b4eff18ffc479c39,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,,,,,a26cdf3a6e709124385d4d7eb9bff6b897a58ed5597fbab779b89849dbe81b21,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,,,,,,2007-12-06,,,c4694f2e93d5c4e7d51f9c5deb75e6cc8be5e1114178c6a45b6fc2c566a0aa8c,,,,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd,8b92049269c56aef446e4853aee439b0548d12d62f26c29b077e54c437f8e6e1,,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,276.50408050962324,,,,,,58af221d085e748164807618501c80a22b6d0d44bc5c020e6784d4b438a38aa5,afe60ec964360a5a53fe732458a77b8bf1c2ac0e566bda6200ee585517d98272,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,a9009f41007a98c18f4fb6db82d8fdf7f2916abcd823b8c3ad62616e7810629c,52e15ec185ba036071571ef861ff3cec4ace0100eda2b93dfd9dc9773566e351,,,c3972ccd735419073803fcacedfe2ea2c95f6c1df260354e9f83aa1befff1efb,,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,,,,,,,,,,dd4662a80bf4e1fe43c674ea8de6b00a423c3ee4e113bf4c03210b0bea227b95,567d6942cf5211b4321ec51929f02f900a56260d92e6df24be91c909dedd8adb,,,,1fcd6bedeaf58daa2a7f0d63f80de4768dc1005cf843b76487086ffb8fe82b79,1fcd6bedeaf58daa2a7f0d63f80de4768dc1005cf843b76487086ffb8fe82b79,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,,,,,,,,,,,,,,,,,,4299ec8956510dc501957fbdabd960ef7da02db31707126bd8cc29bdfef77f60,abe464ff6d208dc29d603390b9992bcccb9b06e57c94eb07ce579966fd0608e1
fea119ec11d0717fa2981bfefe2e0ab2f3a7639e3a84c015e5b3f91079d988d1,ad57366865126e55649ecb23ae1d48887544976efea46a48eb5d85a6eeb4d306,9050d64573b577abef34cf3073e3fbff7f96127e46945a52b15809eb89b34b2c,ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d,,4589be117f1379f2476148f9d9d6e55b40f659c17814050d9e93719d7e18e380,2007-10-15,,,908d2831d769fc7a24550e080ae2cb7b7ed6fbb4b659383712c397dc4b61cacb,,524beeec873cb78924f03e60f2b9a7313873df5881f0654eaead2d581336e643,ae5ee4e475c9ed4edeadf6f223874cdba0de2820c52d577931d417edcca0c802,,30814e3036f3f98aca5b54c1f7dbcd2636e1a06e401258f0b4eff18ffc479c39,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,,,,,a26cdf3a6e709124385d4d7eb9bff6b897a58ed5597fbab779b89849dbe81b21,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,,,,,,2007-04-04,,,c4694f2e93d5c4e7d51f9c5deb75e6cc8be5e1114178c6a45b6fc2c566a0aa8c,,,,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd,8b92049269c56aef446e4853aee439b0548d12d62f26c29b077e54c437f8e6e1,,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,55.290196999082056,,,,,,d718b0b6a377896f53f6ef8952f67f3fef99eb542eeb2e96ee9c8b66a7fdcaee,d886a9592c141ee8bfa87a0cf44ae06217969ac24d8b7834ad802764c1ce8995,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,a9009f41007a98c18f4fb6db82d8fdf7f2916abcd823b8c3ad62616e7810629c,52e15ec185ba036071571ef861ff3cec4ace0100eda2b93dfd9dc9773566e351,,,c3972ccd735419073803fcacedfe2ea2c95f6c1df260354e9f83aa1befff1efb,,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,,,,,,,,,,511e2040367120967815cc412919678d7da6f5e24296d6492d1a5446fd7d6fe3,567d6942cf5211b4321ec51929f02f900a56260d92e6df24be91c909dedd8adb,,,,1fcd6bedeaf58daa2a7f0d63f80de4768dc1005cf843b76487086ffb8fe82b79,1fcd6bedeaf58daa2a7f0d63f80de4768dc1005cf843b76487086ffb8fe82b79,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,,,,,,,,,,,,,,,,,,cd1b874795f3d48cd2ea12e9c98db0dc4e1e87a609816e3c0af0817f72ab61fa,abe464ff6d208dc29d603390b9992bcccb9b06e57c94eb07ce579966fd0608e1
