MANDT,MATNR,ERSDA,ERNAM,LAEDA,AENAM,VPSTA,PSTAT,LVORM,MTART,MBRSH,MATKL,BISMT,MEINS,BSTME,ZEINR,ZEIAR,ZEIVR,ZEIFO,AESZN,BLATT,BLANZ,FERTH,FORMT,GROES,WRKST,NORMT,LABOR,EKWSL,BRGEW,NTGEW,GEWEI,VOLUM,VOLEH,BEHVO,RAUBE,TEMPB,DISST,TRAGR,STOFF,SPART,KUNNR,EANNR,WESCH,BWVOR,BWSCL,SAISO,ETIAR,ETIFO,ENTAR,EAN11,NUMTP,LAENG,BREIT,HOEHE,MEABM,PRDHA,AEKLK,CADKZ,QMPUR,ERGEW,ERGEI,ERVOL,ERVOE,GEWTO,VOLTO,VABME,KZREV,KZKFG,XCHPF,VHART,FUELG,STFAK,MAGRV,BEGRU,DATAB,LIQDT,SAISJ,PLGTP,MLGUT,EXTWG,SATNR,ATTYP,KZKUP,KZNFM,PMATA,MSTAE,MSTAV,MSTDE,MSTDV,TAKLV,RBNRM,MHDRZ,MHDHB,MHDLP,INHME,INHAL,VPREH,ETIAG,INHBR,CMETH,CUOBF,KZUMW,KOSCH,SPROF,NRFHG,MFRPN,MFRNR,BMATN,MPROF,KZWSM,SAITY,PROFL,IHIVI,ILOOS,SERLV,KZGVH,XGCHP,KZEFF,COMPL,IPRKZ,RDMHD,PRZUS,MTPOS_MARA,BFLME,MATFI,CMREL,BBTYP,SLED_BBD,GTIN_VARIANT,GENNR,RMATP,ZZOLDPRODH,ZZBUSNSEG,ZZMDL,ZZREL,ZZRELCODE,ZZMAT_SEG,ZZNPH,ZZMAT_SBU,ZZMAT_GPH,ZZMDGM,ZZMSBU_PL,ZZMGPH_PL,ZZORIGSRC,ZZPRODMAN,ZZREVCATE,ZZLAUNCHD,ZZPRODSTEW,ZZBRAND_PF,ZZICM_COGS,BRAND_ID,ZZTAXGROUP,ZZMATTAXCLASS,MATNR_CLEAN,sur_pkey,SOURCE_SYSTEM_ERP
ad57366865126e55649ecb23ae1d48887544976efea46a48eb5d85a6eeb4d306,73247d2a426212859ed5573281c4fb0f1ac040983509226591035355f4d0fa68,1999-09-22,68b00f47d400ddd36882df40a9679ee0ac18d3eec06e942adb0b7b365720cf11,2023-12-02,a921a877443c7cac535330664d82371ae742afe56009a075b25d216716d32034,58183adeca799d7696e965c3040287f1d0b4b4afd9de986e31a77642858dccb2,b7d8aa17a53a45dd44bcd03025c67380587ba67b7fe95b2a1c25655fcdec9005,,3e0e2b86eb3bfddfe01eedba5ab7113b0c07c7141ece0d344b0ad84dda346217,6b23c0d5f35d1b11f9b683f0b0a617355deb11277d91ae091d399c655b87940d,37d9110cb6e286b9f543d88def67e6b9ffb953d2cade4a37a86b33d1c13b0e29,346a9c74494ead4d3a1b4b3016b1948c88cf9e1a04da6914f6ba0372e1d110d1,72dfcfb0c470ac255cde83fb8fe38de8a128188e03ea5ba5b2a93adbea1062fa,,,,,,,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,c7fcd5701a3f14e523f6e921cd1c69023e533788bf1fe907d31009ab7f3552cd,58ec1b25c481b2c27fa032f9d266f05d5f77a9189f29423994407592ed520d7d,4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce,342.32510642547027,164.00055041779137,88ed32099fc71a59d6849a77735f947e17ebdd813cefc4742682dcadbeecf920,281.07054688038244,,,938db8c9f82c8cb58d3f3ef4fd250036a48d26a712753d2fde5abd03a85cabf4,3165be96f5833ae07a93e8baa073df6bae2dc719814af10288f844d637d8721a,2ac9a6746aca543af8dff39894cfe8173afba21eb01c6fae33d52947222855ef,81a83544cf93c245178cbc1620030f1123f435af867c79d87135983c52ab39d9,c09d4b25bbd39146e1ae793fc17472c67031e6b560ee48c0294c7b2d6f0bd759,4e808094851fc2eac7a386fc7d64677b34bda5e41d366ec4943233f9e6f2cd63,,,289.7414515747693,,,,,,,96db31fa59b0dacf123457811b6f24b95f0f5de9bcf3b6cef0c6d0d931f89334,26aa85d6e7ae6b7194331b3411209f4b0f18b6d11005c43e0dc37af1d7aad6dd,481.0382721350934,177.80493643343704,88.72579244578543,,b8559c844962f766c2dc55cb548cd7411eaf7e96e8bc70bb55fe71293c8aaa0e,,,,24.925276854070923,,456.9726662688441,,236.0041217279731,5.822898932670906,d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35,,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,,179.12510548807066,302.21453797097786,,,,,,,,764b7a0e979a0fc2e8cd10a27b8e8a4f37b23c92266a2b9310f53924194d5de5,,,,,,48449a14a4ff7d79bb7a1b6f3d488eba397c36ef25634c111b49baf362511afc,8241649609f88ccd2a0a5b233a07a538ec313ff6adf695aa44a969dbca39f67d,2024-04-14,2022-03-12,,,382.15377497953517,394.0993554970186,241.05643283796292,,387.21985467433706,148.10803531563104,,421.48700067180596,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,,,,,,,,,,,,,,,,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,cdfba3ae142034d4d8913a2de818b8d82d728f6e13a60a707a0076c0db8f8fdc,,,,,,,,,a82c32e7914c7ef3630ddc8a30b4ee6e006cf03bc2e821c1da8469d848f95fa4,6cd5b6e51936a442b973660c21553dd22bd72ddc8751132a943475288113b4c0,,,,,,f32112e1b52a18017367cde965866a2edc70b6c7a9c726c0c8102e1448c49559,1cb2c4bc7a231e9397d2bc6a2ad7a30578081dc9253db78b2459ff4f71fd6e1c,73247d2a426212859ed5573281c4fb0f1ac040983509226591035355f4d0fa68,,,6b32c01a019bd349ff3c659b6206000b1f29e39bda71e3ac47c0006a033d93cc,,333e0a1e27815d0ceee55c473fe3dc93d56c63e3bee2b3b4aee8eed6d70191a3,9999-12-10,,6056d90d2c154c21dc1b819cb407a5ccdf112fe5b174aea809339be380a4ec81,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,,,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,73247d2a426212859ed5573281c4fb0f1ac040983509226591035355f4d0fa68,a67f3dc2d7d26c420203dfc21707fde20bd9489340e1e87702520b450b2030cc,9b209a8df4da4b8d1324a72922683c465c740844eef3302799083ed553935116
ad57366865126e55649ecb23ae1d48887544976efea46a48eb5d85a6eeb4d306,590c5df14b93564b3822eeb4d5b6468ea992f92499c1692edcfcdf555a78e39f,2012-04-08,9b5e969e8d833824d6748833281339c8a3d54b30d9de511ccc04edb726f114b9,2024-05-27,c0379721ae184c770ce0accf8c2ffffb5878148f68c3665d4f8c3be27e955b43,9744fe1620dd10025ff30f095b9b850b6c96007f68610233c2302cf4667caea0,b794dce9794f1f96f533403d10df202b62152210976326971541b83b3dd84dfa,,719871a65bba8d87583865a65455bfd70b92cdb9fb8756ae6c5729d49867a918,6b23c0d5f35d1b11f9b683f0b0a617355deb11277d91ae091d399c655b87940d,d027d168223e2ec009d085d76c3c42126aab135615fbf370667a5e269f47ab24,76a74efa4b78e6010481fdb30b81ef23fbd77f8162a8e726968b1b92fdb438af,88ed32099fc71a59d6849a77735f947e17ebdd813cefc4742682dcadbeecf920,,,,,,,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,e11f1240cc849bef908e158abba141cbb5ccd5f707e0ccb49ae7acf63322fd95,2b4da94214015b4281ac65905270bda4eefb97e08f5b4ae2f517b424ff77bfd9,9e0ffe90772a475d1d418b118c1abf8dc4e3521174aec8b2ed14e90a214f07ad,291.45701703019284,20.234058609333584,88ed32099fc71a59d6849a77735f947e17ebdd813cefc4742682dcadbeecf920,389.6290957257037,,,938db8c9f82c8cb58d3f3ef4fd250036a48d26a712753d2fde5abd03a85cabf4,3165be96f5833ae07a93e8baa073df6bae2dc719814af10288f844d637d8721a,5a96acc64c72c5b2b890cf2855d036cacc054d61a360be4da12c1fa47dc0b480,c5d4a63dbef4f919bd9cb1690deb3aa0eca57e71fc9af9570465852e2e91357c,72da3db196411477680eed88327b8fb8b0fab0e96ac5156a8378682039ba513b,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,,,459.3378141383443,,,,,,,18a79dbc1e4e0dcbe834c76beaff0d174fc00435ee18a4fa339d24d7de9d0372,26aa85d6e7ae6b7194331b3411209f4b0f18b6d11005c43e0dc37af1d7aad6dd,282.3434470036734,353.72475481693635,282.92700448868067,,346637c408a27c59ea8773731b2367ec7aa766d12fa775caa56b6c5c2ca2baee,,,,391.7277850103895,,488.94747647841405,,161.40800837015212,398.3090330108714,,,,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,,369.5966759626222,225.14395023929595,,,,,,,,,,,,,,,,,,,,238.545989130636,475.18270873900235,412.4720137702344,,415.91627683094134,143.36695866719302,,58.95420504802929,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,,,,,,,,,,,,,,,,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,,,,,df7e70e5021544f4834bbee64a9e3789febc4be81470df629cad6ddb03320a5c,,,,,6cd5b6e51936a442b973660c21553dd22bd72ddc8751132a943475288113b4c0,,,,,,88d0e57b3b2ab23ae9684a086338a660aec220b9160dd9e092494e752c0aa01d,07a0cc6bd2ffe5d4e2ad94c740d1d7188da7944c7e2905d3af0c542c5788ead1,590c5df14b93564b3822eeb4d5b6468ea992f92499c1692edcfcdf555a78e39f,,,6b32c01a019bd349ff3c659b6206000b1f29e39bda71e3ac47c0006a033d93cc,,333e0a1e27815d0ceee55c473fe3dc93d56c63e3bee2b3b4aee8eed6d70191a3,9999-08-19,,,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,,,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,590c5df14b93564b3822eeb4d5b6468ea992f92499c1692edcfcdf555a78e39f,3cf8e2488546029e8538e33d20c4e5600c530d199196af16197f0a7c837fe330,9b209a8df4da4b8d1324a72922683c465c740844eef3302799083ed553935116
ad57366865126e55649ecb23ae1d48887544976efea46a48eb5d85a6eeb4d306,85b82c1df153d3366f650faf1974dd83092a5ff9259814f1480f2096ff82469e,2012-06-03,9b5e969e8d833824d6748833281339c8a3d54b30d9de511ccc04edb726f114b9,2020-12-23,b25624cfb0b2d7be8d36673bc69c02c57834adb4ff6140c098d4a937817f70f9,9744fe1620dd10025ff30f095b9b850b6c96007f68610233c2302cf4667caea0,b794dce9794f1f96f533403d10df202b62152210976326971541b83b3dd84dfa,,86eda7bb891ca814c33c3c7c5ceb46901f26ed1ff41545969c010787ef218cb9,6b23c0d5f35d1b11f9b683f0b0a617355deb11277d91ae091d399c655b87940d,d027d168223e2ec009d085d76c3c42126aab135615fbf370667a5e269f47ab24,7f8609bf66b2e4828589db08a1c83f8b2bbac914a8dba252132dc1d8e4e8a958,fb2a4edd17f56dd07d1c9aef6b98e9094c35846f260bdc765c87bd6f2e8a7921,,,,,,,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,97925e21e51473fbc11a70d64047755c49f11ccf6f3ca3d860bb3e9fb3a65a1b,33eb7e4ae43f9873d9c84c0f07b055946b24a71ca27daa60acbbf95b44c7c5e0,9e0ffe90772a475d1d418b118c1abf8dc4e3521174aec8b2ed14e90a214f07ad,759.668728801204,288.29532217264995,333e0a1e27815d0ceee55c473fe3dc93d56c63e3bee2b3b4aee8eed6d70191a3,768.6617868446904,a5713dc015b27286ec0cdd8fe5c20e055cada2827cbffd1ab4aa1c26528b59d4,,938db8c9f82c8cb58d3f3ef4fd250036a48d26a712753d2fde5abd03a85cabf4,3165be96f5833ae07a93e8baa073df6bae2dc719814af10288f844d637d8721a,2ac9a6746aca543af8dff39894cfe8173afba21eb01c6fae33d52947222855ef,c5d4a63dbef4f919bd9cb1690deb3aa0eca57e71fc9af9570465852e2e91357c,72da3db196411477680eed88327b8fb8b0fab0e96ac5156a8378682039ba513b,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,,,258.40264526980224,,,,,,,fd998064d21a091910fed804ad52358d26f3b970d8d7b67326c12f189402936d,26aa85d6e7ae6b7194331b3411209f4b0f18b6d11005c43e0dc37af1d7aad6dd,397.56166027919977,112.82319178206495,50.57727049058647,,0f07f1e10dadfa2f30aa6d0e8be947b2a4b95e527541a7eb253b067503790b76,,,,322.87367738728545,,220.43711958894934,,7.770097168396717,490.87619456307647,,,,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,,117.51171530981647,27.283869493760214,,,,,,,,,,,,,,,,,,,,379.2364523998296,63.20264185095464,41.85097992717751,,125.29202764449198,87.06008543157756,,123.17602266615162,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,,,,,,,,,,,,,,,,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,,,,,df7e70e5021544f4834bbee64a9e3789febc4be81470df629cad6ddb03320a5c,,,,,6cd5b6e51936a442b973660c21553dd22bd72ddc8751132a943475288113b4c0,,,,,,88d0e57b3b2ab23ae9684a086338a660aec220b9160dd9e092494e752c0aa01d,49e9218a4d5c56ce087f5c7f98fc9b7ae616dab2f39983e39d862f74554ccac7,85b82c1df153d3366f650faf1974dd83092a5ff9259814f1480f2096ff82469e,,,6b32c01a019bd349ff3c659b6206000b1f29e39bda71e3ac47c0006a033d93cc,,333e0a1e27815d0ceee55c473fe3dc93d56c63e3bee2b3b4aee8eed6d70191a3,+10000-01-17,,,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,,,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,85b82c1df153d3366f650faf1974dd83092a5ff9259814f1480f2096ff82469e,f190a81404752c250796aea5cdfcf39f27949f52ce59f842897d524c5699b4b2,9b209a8df4da4b8d1324a72922683c465c740844eef3302799083ed553935116
ad57366865126e55649ecb23ae1d48887544976efea46a48eb5d85a6eeb4d306,c2bb3b34c7d0fafdfe81229c0834926066486aff6ffdc72ba7ffa8a2610096fb,2013-03-20,9b5e969e8d833824d6748833281339c8a3d54b30d9de511ccc04edb726f114b9,2021-08-09,b25624cfb0b2d7be8d36673bc69c02c57834adb4ff6140c098d4a937817f70f9,9744fe1620dd10025ff30f095b9b850b6c96007f68610233c2302cf4667caea0,b794dce9794f1f96f533403d10df202b62152210976326971541b83b3dd84dfa,,86eda7bb891ca814c33c3c7c5ceb46901f26ed1ff41545969c010787ef218cb9,6b23c0d5f35d1b11f9b683f0b0a617355deb11277d91ae091d399c655b87940d,d027d168223e2ec009d085d76c3c42126aab135615fbf370667a5e269f47ab24,af31736f8574365212d9a312b7cd6a85f4cf468a46b438db29575fde1ba2886a,fb2a4edd17f56dd07d1c9aef6b98e9094c35846f260bdc765c87bd6f2e8a7921,,,,,,,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,8171a18e267d0825ab1ef77cd3524b4902614a780f81b7376ca6ba5c65c1d6bb,bcaf44f4041e62e142d50cad2aae2520e01247cd144d28d4ab20b758524a7217,9e0ffe90772a475d1d418b118c1abf8dc4e3521174aec8b2ed14e90a214f07ad,538.8023350791854,644.5048080216457,333e0a1e27815d0ceee55c473fe3dc93d56c63e3bee2b3b4aee8eed6d70191a3,252.58894679655046,,,938db8c9f82c8cb58d3f3ef4fd250036a48d26a712753d2fde5abd03a85cabf4,3165be96f5833ae07a93e8baa073df6bae2dc719814af10288f844d637d8721a,2ac9a6746aca543af8dff39894cfe8173afba21eb01c6fae33d52947222855ef,6cf713e83ca48f8a190b07af39303ea10884872d491f8d0c2056907fc2a26bad,83211750d4178e2d985338b596e62234cf64a60bd2c0d15ddb393444650e312a,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,,,196.01165714383885,,,,,,,f5ffa20969003ef5652685e8ac24e446f6973f1b12dbe192fc64e8020b345c7b,26aa85d6e7ae6b7194331b3411209f4b0f18b6d11005c43e0dc37af1d7aad6dd,358.9392058601235,337.75677380439396,282.8509710263471,,4c128e56ee06376158e978e7e7747769de17e1de639fc52bdbc9b4e2720906c6,,,,23.591536336145303,,361.8449327819945,,8.908343189775959,241.2426513977023,,,,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,,432.46508094982636,396.1141027155762,,,,,,,,,,,,,,,,,,,,98.34567074981965,195.510718128242,282.0835971373307,,228.11367895464358,1.7310953380197391,,276.52138270582475,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,,,,,,,,,,,,,,,,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,,,,,df7e70e5021544f4834bbee64a9e3789febc4be81470df629cad6ddb03320a5c,,,,,6cd5b6e51936a442b973660c21553dd22bd72ddc8751132a943475288113b4c0,,,,,,88d0e57b3b2ab23ae9684a086338a660aec220b9160dd9e092494e752c0aa01d,ec6c65088414774e5deda8020408b52b3b4843dc63e6550a27273f97b83f0cc6,c2bb3b34c7d0fafdfe81229c0834926066486aff6ffdc72ba7ffa8a2610096fb,,,6b32c01a019bd349ff3c659b6206000b1f29e39bda71e3ac47c0006a033d93cc,,333e0a1e27815d0ceee55c473fe3dc93d56c63e3bee2b3b4aee8eed6d70191a3,+10000-04-20,,,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,,,,c2bb3b34c7d0fafdfe81229c0834926066486aff6ffdc72ba7ffa8a2610096fb,6cc314b300ab6a773257da1016f7e33ed90e5db6826e6cc050b013afbec0b51d,9b209a8df4da4b8d1324a72922683c465c740844eef3302799083ed553935116
ad57366865126e55649ecb23ae1d48887544976efea46a48eb5d85a6eeb4d306,c216f4a709b45177d40da3228690f31f68a0e62fe3d0bc4ab6f82977f54ae13d,2012-10-06,a1a68fa9c17289d1d96fcb61d67629448330d107cec3c521b4d0d97f1d89ffdf,2021-07-24,b25624cfb0b2d7be8d36673bc69c02c57834adb4ff6140c098d4a937817f70f9,9744fe1620dd10025ff30f095b9b850b6c96007f68610233c2302cf4667caea0,b794dce9794f1f96f533403d10df202b62152210976326971541b83b3dd84dfa,,86eda7bb891ca814c33c3c7c5ceb46901f26ed1ff41545969c010787ef218cb9,6b23c0d5f35d1b11f9b683f0b0a617355deb11277d91ae091d399c655b87940d,d027d168223e2ec009d085d76c3c42126aab135615fbf370667a5e269f47ab24,92da2e26dbeb5cdf857490200f81e4034d553cc59ac77a0121cf08490817c97b,fb2a4edd17f56dd07d1c9aef6b98e9094c35846f260bdc765c87bd6f2e8a7921,,,,,,,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,8171a18e267d0825ab1ef77cd3524b4902614a780f81b7376ca6ba5c65c1d6bb,bcaf44f4041e62e142d50cad2aae2520e01247cd144d28d4ab20b758524a7217,9e0ffe90772a475d1d418b118c1abf8dc4e3521174aec8b2ed14e90a214f07ad,322.1594218561527,537.0922796278921,333e0a1e27815d0ceee55c473fe3dc93d56c63e3bee2b3b4aee8eed6d70191a3,319.5659566894131,,,938db8c9f82c8cb58d3f3ef4fd250036a48d26a712753d2fde5abd03a85cabf4,3165be96f5833ae07a93e8baa073df6bae2dc719814af10288f844d637d8721a,7a3e6b16cb75f48fb897eff3ae732f3154f6d203b53f33660f01b4c3b6bc2df9,6cf713e83ca48f8a190b07af39303ea10884872d491f8d0c2056907fc2a26bad,83211750d4178e2d985338b596e62234cf64a60bd2c0d15ddb393444650e312a,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,,,6.057018096836286,,,,,,,582f9f3c65b8f1d908f1a130e8f306c6b3654c4915cb9b88402dcbdd23fbb4fe,26aa85d6e7ae6b7194331b3411209f4b0f18b6d11005c43e0dc37af1d7aad6dd,45.78451524272381,99.82664660655466,204.1875676507202,,4c128e56ee06376158e978e7e7747769de17e1de639fc52bdbc9b4e2720906c6,,,,173.14867950462897,,35.11879841041643,,170.88410791415532,409.939032623142,,,,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,,368.67373065556467,317.6481011476514,,,,,,,,,,,,,,,,,,,,52.23672970761317,443.9919735858291,363.90628270192093,,24.764432668301197,305.0581014249351,,14.518031278832,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,,,,,,,,,,,,,,,,,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,,,,,,,,,df7e70e5021544f4834bbee64a9e3789febc4be81470df629cad6ddb03320a5c,,,,,6cd5b6e51936a442b973660c21553dd22bd72ddc8751132a943475288113b4c0,,,,,,88d0e57b3b2ab23ae9684a086338a660aec220b9160dd9e092494e752c0aa01d,ec6c65088414774e5deda8020408b52b3b4843dc63e6550a27273f97b83f0cc6,c216f4a709b45177d40da3228690f31f68a0e62fe3d0bc4ab6f82977f54ae13d,,,6b32c01a019bd349ff3c659b6206000b1f29e39bda71e3ac47c0006a033d93cc,,333e0a1e27815d0ceee55c473fe3dc93d56c63e3bee2b3b4aee8eed6d70191a3,9999-07-08,,,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,,,,c216f4a709b45177d40da3228690f31f68a0e62fe3d0bc4ab6f82977f54ae13d,553b84e28ebb12f61375bce2080475ce3b6465aaf36a30a49101423ecd42681e,9b209a8df4da4b8d1324a72922683c465c740844eef3302799083ed553935116
